# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,992,264,992,0,0,1,ok,554454,215,replay=match
queue2spread,992,304,992,0,0,1,ok,556183,82,replay=match
canonical,1008,527,1008,0,0,1,ok,582036,0,replay=single
cool,1008,315,1008,0,0,1,ok,1332808,1963,replay=match
escal,1008,261,1008,0,0,1,ok,594138,987,replay=match
stallcool,1008,264,1008,0,0,1,ok,569063,219,replay=match
queue2spread,1008,318,1008,0,0,1,ok,570649,82,replay=match
canonical,1024,528,1024,0,0,1,ok,586390,0,replay=single
cool,1024,311,1024,0,0,1,ok,1360980,1954,replay=match
escal,1024,295,1024,0,0,1,ok,596590,954,replay=match
stallcool,1024,264,1024,0,0,1,ok,573225,219,replay=match
queue2spread,1024,318,1024,0,0,1,ok,574628,82,replay=match
