# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
queue2spread,864,216,864,0,0,1,ok,95690,6,replay=match
canonical,880,218,880,0,0,1,ok,96800,0,replay=single
cool,880,259,880,0,0,1,ok,726361,1269,replay=match
escal,880,218,880,0,0,1,ok,99823,48,replay=match
stallcool,880,224,880,0,0,1,ok,97836,24,replay=match
queue2spread,880,218,880,0,0,1,ok,97438,6,replay=match
canonical,896,220,896,0,0,1,ok,98560,0,replay=single
cool,896,260,896,0,0,1,ok,756165,1294,replay=match
escal,896,220,896,0,0,1,ok,101561,48,replay=match
stallcool,896,224,896,0,0,1,ok,99596,24,replay=match
queue2spread,896,220,896,0,0,1,ok,99186,6,replay=match
canonical,912,222,912,0,0,1,ok,100320,0,replay=single
cool,912,260,912,0,0,1,ok,784797,1313,replay=match
escal,912,222,912,0,0,1,ok,103299,48,replay=match
stallcool,912,224,912,0,0,1,ok,101356,24,replay=match
queue2spread,912,222,912,0,0,1,ok,100934,6,replay=match
canonical,928,224,928,0,0,1,ok,102080,0,replay=single
cool,928,264,928,0,0,1,ok,820111,1299,replay=match
escal,928,224,928,0,0,1,ok,105037,48,replay=match
stallcool,928,224,928,0,0,1,ok,103116,24,replay=match
queue2spread,928,224,928,0,0,1,ok,102682,6,replay=match
canonical,944,226,944,0,0,1,ok,103840,0,replay=single
cool,944,270,944,0,0,1,ok,860853,1340,replay=match
escal,944,226,944,0,0,1,ok,106776,48,replay=match
stallcool,944,226,944,0,0,1,ok,104876,24,replay=match
queue2spread,944,226,944,0,0,1,ok,104430,6,replay=match
canonical,960,228,960,0,0,1,ok,105600,0,replay=single
cool,960,268,960,0,0,1,ok,881881,1374,replay=match
escal,960,228,960,0,0,1,ok,108516,48,replay=match
stallcool,960,228,960,0,0,1,ok,106633,24,replay=match
queue2spread,960,228,960,0,0,1,ok,106178,6,replay=match
canonical,976,230,976,0,0,1,ok,107360,0,replay=single
cool,976,288,976,0,0,1,ok,898431,1429,replay=match
escal,976,232,976,0,0,1,ok,111261,80,replay=match
stallcool,976,232,976,0,0,1,ok,108911,33,replay=match
queue2spread,976,234,976,0,0,1,ok,109160,14,replay=match
canonical,992,232,992,0,0,1,ok,109120,0,replay=single
cool,992,282,992,0,0,1,ok,933314,1433,replay=match
escal,992,232,992,0,0,1,ok,112997,80,replay=match
stallcool,992,232,992,0,0,1,ok,110671,33,replay=match
queue2spread,992,234,992,0,0,1,ok,110852,14,replay=match
canonical,1008,234,1008,0,0,1,ok,110880,0,replay=single
cool,1008,278,1008,0,0,1,ok,970297,1467,replay=match
escal,1008,234,1008,0,0,1,ok,114733,80,replay=match
stallcool,1008,234,1008,0,0,1,ok,112431,33,replay=match
queue2spread,1008,234,1008,0,0,1,ok,112584,14,replay=match
canonical,1024,236,1024,0,0,1,ok,112640,0,replay=single
cool,1024,282,1024,0,0,1,ok,999912,1497,replay=match
escal,1024,236,1024,0,0,1,ok,116469,80,replay=match
stallcool,1024,236,1024,0,0,1,ok,114191,33,replay=match
queue2spread,1024,236,1024,0,0,1,ok,114316,14,replay=match
